store,category,subcategory,name,sku,description,price,stock,image
MAK Supplies,Diagnostics,Percussion Hammers,MAK Taylor Percussion / Tomahawk Reflex Hammer 19cm Triangular Silicone Head,1310,MAK Taylor Percussion / Tomahawk Reflex Hammer 19cm Triangular Silicone Head,8.48,150,https://i.postimg.cc/L4ggz7sZ/1310-2019-11-13-16-30-23-UTC.jpg
MAK Supplies,Diagnostics,Percussion Hammers,MAK Professional-Grade Dejerine 20cm Neurological Reflex Hammer Black FAST SHIP,1320,MAK Professional-Grade Dejerine 20cm Neurological Reflex Hammer Black FAST SHIP,27.26,1300,https://i.postimg.cc/kgbTzwwV/1320.jpg
MAK Supplies,Diagnostics,Percussion Hammers,MAK Professional Grade Dejerine 20cm With Pin Neurological Reflex Hammer Black,1330,MAK Professional Grade Dejerine 20cm With Pin Neurological Reflex Hammer Black,12.68,250,https://i.postimg.cc/JnPxZF7F/1330-2019-11-13-16-30-23-UTC.jpg
MAK Supplies,Diagnostics,Percussion Hammers,MAK Queen Square Neurological Reflex Hammer Pointed Tip Superficial Responses,1340,MAK Queen Square Neurological Reflex Hammer Pointed Tip Superficial Responses,13.03,275,https://i.postimg.cc/LskN6Xc2/1340-2019-11-13-16-30-23-UTC.jpg
MAK Supplies,Diagnostics,Percussion Hammers,"MAK Buck Neurological Reflex Hammer 18cm With Brush Nerve Sensitivity , Reflexes",1350,"MAK Buck Neurological Reflex Hammer 18cm With Brush Nerve Sensitivity , Reflexes",9.78,220,https://i.postimg.cc/sxxccJvg/1350-2019-11-13-16-30-23-UTC.jpg
MAK Supplies,Diagnostics,Percussion Hammers,MAK Berliner Neurological Reflex Hammer 19cm For Reflexive Responses Axe Shape,1360,MAK Berliner Neurological Reflex Hammer 19cm For Reflexive Responses Axe Shape,13.38,300,https://i.postimg.cc/JhCpLJdp/1360-2019-11-13-16-30-23-UTC.jpg
MAK Supplies,Diagnostics,Percussion Hammers,"MAK Traube Neurological Reflex Hammer Check Pressure , Reflex in Stomach Area",1370,"MAK Traube Neurological Reflex Hammer Check Pressure , Reflex in Stomach Area",10.56,300,https://i.postimg.cc/nzHTsxx7/1370-2019-11-13-16-30-23-UTC.jpg
MAK Supplies,Diagnostics,Percussion Hammers,MAK Traube 25cm Neurological Reflex Hammer Check Pressure Reflex in Stomach Area,1371,MAK Traube 25cm Neurological Reflex Hammer Check Pressure Reflex in Stomach Area,16.95,500,https://i.postimg.cc/nrZWmPTw/1371.png
MAK Supplies,Diagnostics,Percussion Hammers,MAK Wartenberg PinWheel / NuroWheel 17.5cm Used To Determine Nerve Sensitivity,1380,MAK Wartenberg PinWheel / NuroWheel 17.5cm Used To Determine Nerve Sensitivity,8.52,150,https://i.postimg.cc/kGHyhtbF/1380-2019-11-13-16-30-23-UTC.jpg
MAK Supplies,Anaesthesia,Forceps,MAK Catheter Introducing Forceps Magill 24cm Fine Quality Surgical Instruments,3140,MAK Catheter Introducing Forceps Magill 24cm Fine Quality Surgical Instruments,10.26,150,https://i.postimg.cc/nVSTLNPj/3140-2019-11-13-16-30-23-UTC.jpg
MAK Supplies,Anaesthesia,Forceps,"MAK Catheter Introducing Forceps Magill 20cm Fine Quality Instrument ""FAST SHIP""",3142,"MAK Catheter Introducing Forceps Magill 20cm Fine Quality Instrument ""FAST SHIP""",9.66,140,https://i.postimg.cc/SxfS96gj/3142.png
MAK Supplies,Anaesthesia,Forceps,MAK Magill Catheter Fenestrated Forceps 16cm For Grasping Endotracheal Tube,3144,MAK Magill Catheter Fenestrated Forceps 16cm For Grasping Endotracheal Tube,7.44,100,https://i.postimg.cc/wTt2RFCW/3144-2019-11-13-16-30-23-UTC.jpg
